FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:53644 => 95.217.115.180:443,192.168.0.123,53644,95.217.115.180,443,6,1679310635.862914,kohajone,4.656459,49,49,6346,0,1362.838156633613653636808571,10.52301759770675528336016703,129.51020408163265
192.168.0.123:53645 => 95.217.115.180:443,192.168.0.123,53645,95.217.115.180,443,6,1679310635.863452,kohajone,4.655325,117,117,10369,0,2227.341807500013425485868334,25.13250954552045238517181937,88.62393162393163
95.217.115.180:443 => 192.168.0.123:53644,95.217.115.180,443,192.168.0.123,53644,6,1679310635.913897,kohajone,3.516970,38,38,46616,0,13254.59131013343872708609968,10.80475522964369897951930213,1226.7368421052631
95.217.115.180:443 => 192.168.0.123:53645,95.217.115.180,443,192.168.0.123,53645,6,1679310635.923749,kohajone,4.678151,106,106,145075,0,31011.18369201849192127402472,22.65852470345655794351229791,1368.632075471698
192.168.0.123:53647 => 95.217.115.180:443,192.168.0.123,53647,95.217.115.180,443,6,1679310636.893394,kohajone,2.073781,5,5,909,0,438.3297947083129800109076127,2.411054976393360726132605130,181.8
192.168.0.123:53648 => 95.217.115.180:443,192.168.0.123,53648,95.217.115.180,443,6,1679310636.893988,kohajone,3.624062,59,59,8558,0,2361.438628809330524698528888,16.28007467863408517845445249,145.05084745762713
192.168.0.123:53649 => 95.217.115.180:443,192.168.0.123,53649,95.217.115.180,443,6,1679310636.894611,kohajone,3.682824,76,76,8579,0,2329.462390817481367559242581,20.63633776688758409307640007,112.88157894736842
192.168.0.123:53650 => 95.217.115.180:443,192.168.0.123,53650,95.217.115.180,443,6,1679310636.895878,kohajone,3.623181,24,24,4407,0,1216.334486187689767637885052,6.624013539483674704631096266,183.625
95.217.115.180:443 => 192.168.0.123:53649,95.217.115.180,443,192.168.0.123,53649,6,1679310636.970251,kohajone,3.606576,61,61,81561,0,22614.52413591173456486151962,16.91354902821956337534548003,1337.0655737704917
95.217.115.180:443 => 192.168.0.123:53648,95.217.115.180,443,192.168.0.123,53648,6,1679310636.994537,kohajone,3.520833,44,44,56674,0,16096.75892040321139912060583,12.49704260327030563505852166,1288.0454545454545
95.217.115.180:443 => 192.168.0.123:53650,95.217.115.180,443,192.168.0.123,53650,6,1679310636.998513,kohajone,2.712565,17,17,17558,0,6472.840282168353569407553367,6.267130925894863348896708466,1032.8235294117646
95.217.115.180:443 => 192.168.0.123:53647,95.217.115.180,443,192.168.0.123,53647,6,1679310638.966833,kohajone,0.000000,1,1,60,0,0,0,60.0
